MR,title,implementation,current_numeric,scientific_limit,next_condition_or_author_decision,Word_status,evidence,timestamp
MR01,事件时间与天气来自后续阶段,time chain verified,earliest-source and core identity checked,true onset unknown,source metadata,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR02,时区、并列和跨边界规则,UTC/tie rules verified,135025 earliest selections agree,time ties not initial truth,V01 stage quality,not_modified,R05/CUSTOMER_COMPARATOR_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR03,未决事件身份与非重复记录,frozen unresolved identity exclusion verified,B1 identities and n checked,cause/record semantics,V00 identity contract,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR04,客户影响与恢复跨度的构造及验证边界,comparison selector hardened,main ratios1.973881/2.989070; common n60436,no true initial/CML interpretation,V01 record quality,not_modified,R05/CUSTOMER_COMPARATOR_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR05,天气产品、缓存、时间窗与39.4m/s叙事,cache consumption verified,hour/UTC values inherited,historical product/3second/onset unknown,source audit before changed-input fits,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR06,gap定义从全国差值改为LAD内LSOA极差,gap meaning corrected,stored0–1 within-LAD range,Buck proxy not reconstructed range,mandatory T01 rebuild,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR07,Moran的计算层级与未知空间权重,Moran level clarified,published LAD values/proxy known,weights recipe unresolved,mandatory T01 geometry/weights,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR08,Buckinghamshire历史代理及后续重建决定,proxy provenance verified,LSOA sheet found; four old-LAD material inventoried,merged indicator not rebuilt,author already decided rebuild and compare; V00 order,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR09,原因共识、分组来源与天气归因措辞,consensus grouping verified,main/weather/six-pooled results identified,official code semantics incomplete,source verification; V01 support,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR10,样本流、p99与极端恢复总体,all_valid evaluation verified,60436/9857; tails retained,outcome tail quality/shape,V01 tail sensitivity,not_modified,R05/OOF_SCORE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR11,标准化、固定效应、VIF与系数尺度,scaling/rank/covariance implementation verified,246 bindings; four VIFs; period physical coefficients,six period two-way nonPSD,only targeted future inference protocol,not_modified,R05/COVARIANCE_AND_PERIOD_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR12,合并OOF R²与平均折R²,12 scores recomputed,weather R gap7.20255pp decomposed3.69109+3.51146,metrics differ; no selective switch,V02 process paired protocol,not_modified,R05/OOF_SCORE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR13,贡献排序反转的配对条件与分支,paired block differences verified,main/weather ordering differs; weather E positive,no stable cross-population reversal,V02 uncertainty and processes,not_modified,R05/OOF_SCORE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR14,日分组与完整天气过程依赖,same-date separation verified,formal OOF eta checked,multiday processes can cross folds,V02 complete process split,not_modified,R05/OOF_SCORE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR15,图9暴露侧多做一次log1p,no double log in current consumer,figure09 rebuilt with log y and eta,not engineering raw-scale error,V03 error/calibration,not_modified,R05/CONSUMER_REPRODUCTION.md,2026-09-05T23:31:25.148819+00:00
MR16,图9恢复样本混合与窗口重复,window identities deduplicated,25unique days/4452main events,date OOF not process OOF,V02 complete process grouping,not_modified,R05/CONSUMER_REPRODUCTION.md,2026-09-05T23:31:25.148819+00:00
MR17,曲线、地图与参考人群的数学含义,reference formulas and consumer verified,12figures new release; map111LAD,not arithmetic conditional means,V03 uses and source conditions,not_modified,R05/CONSUMER_REPRODUCTION.md,2026-09-05T23:31:25.148819+00:00
MR18,二次形状、GLM与三阶反向线索,archived supplements identified,cubic paired positive deltas; GLM full only,no robust/unique quadratic claim,V01 shape evidence,not_modified,R05/OOF_SCORE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
